STOFF_ID;Stoff_Typ;Name_Botanisch_INCI;Name_DE;Name_EN;Status;Herkunft_Region;Wissen_Tradition;Familie_Botanisch_Tags;Pflanzenteil_Tags;Gewinnung_Tags;Form_Beschaffenheit;Sensorik_Tags;Chemie_Leitsubstanzen;Harmoniert_Mit_Tags;Sicherheit_Kontraindikation;Labels_Qualitaet;Lagerung;Haltbarkeit_Monate;Lieferant_Haupt;Lieferant_ArtNr;Einkaufspreis_Netto;Waehrung;Gebinde_Groesse;Mengeneinheit;Mindestbestand;Zolltarifnummer;Bio_Kontrollstelle;Anwendung_Dosierung;Tipps_Substitution;Platzhalter_Illu;Illu_Prompt_Positiv;Illu_Prompt_Negativ;Illu_Style;Gemini_Comment;Gemini_Comment2;Old_ID_Ref
STOFF-HRB-000014;Kraut;Coriandrum sativum;Koriandergrün;Cilantro;Active;Global;Polarisierendes asiatisches Kraut.;Apiaceae;Blätter;Trocknung;Geschnitten;zitrus|krautig;Linalool;Curry|Salsa|Pho;Keine;—;Trocken/Dunkel;12;;;;;;;;07129090;—;Kurz vor dem Servieren;Petersilie + Zitronenschale;STOFF-HRB-000014;Ultrarealistisches Foto von getrocknetem Koriandergrün, Makro, 8k;kein frisches Koriander;Foto;;;—
STOFF-HRB-000015;Kraut;Anthriscus cerefolium;Kerbel;Chervil;Active;Europa;Feines Kraut der franz. Küche.;Apiaceae;Blätter;Trocknung;Feinschnitt;anisartig|fein;Estragol;Eier|Fisch|Saucen;Keine;—;Trocken/Dunkel;12;;;;;;;;07129090;—;Nicht lange kochen;Petersilie + Estragon;STOFF-HRB-000015;Ultrarealistisches Foto von getrocknetem Kerbel, zartgrün, Makro, 8k;kein frischer Kerbel;Foto;;;—
STOFF-HRB-000016;Kraut;Artemisia dracunculus;Estragon;Tarragon;Active;Europa;Typisch für Sauce Béarnaise.;Asteraceae;Blätter;Trocknung;Geschnitten;anisartig|würzig;Estragol;Huhn|Fisch|Essig;Estragol beachten;—;Trocken/Dunkel;18;;;;;;;;12119086;—;Am Ende zugeben;Kerbel oder Fenchelgrün;STOFF-HRB-000016;Ultrarealistisches Foto von getrocknetem Estragon, olivgrün, Makro, 8k;kein frischer Bund;Foto;;;—
STOFF-HRB-000017;Kraut;Origanum majorana;Majoran;Marjoram;Active;Mittelmeer;Klassisch für Wurst und Kartoffeln.;Lamiaceae;Blätter;Trocknung;Gerebelt;warm|würzig;Terpinen-4-ol;Kartoffeln|Wurst;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Mitkochen möglich;Oregano;STOFF-HRB-000017;Ultrarealistisches Foto von getrocknetem Majoran, grün-braun, Makro, 8k;kein frischer Strauß;Foto;;;—
STOFF-HRB-000018;Kraut;Melissa officinalis;Zitronenmelisse;Lemon Balm;Active;Europa;Zitrusfrisch, traditioneller Tee.;Lamiaceae;Blätter;Trocknung;Geschnitten;zitronig|mild;Citral;Tee|Desserts|Fisch;Keine;—;Trocken/Dunkel;12;;;;;;;;12119086;—;Als Tee aufgießen;Zitronenverbene;STOFF-HRB-000018;Ultrarealistisches Foto von getrockneter Zitronenmelisse, Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000019;Kraut;Mentha × piperita;Pfefferminze;Peppermint;Active;Europa;Klassisch für Tee und Süßes.;Lamiaceae;Blätter;Trocknung;Geschnitten;minzig|kühl;Menthol;Tee|Schokolade;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;5-8 Min ziehen lassen;Grüne Minze;STOFF-HRB-000019;Ultrarealistisches Foto von getrockneter Pfefferminze, grün-braun, Makro, 8k;kein Menthol-Kristall;Foto;;;—
STOFF-HRB-000020;Kraut;Mentha spicata;Grüne Minze;Spearmint;Active;Nahost;Mildere Minze für Tabbouleh.;Lamiaceae;Blätter;Trocknung;Geschnitten;minzig|mild;Carvon;Tabbouleh|Joghurt;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Gut für kalte Anwendungen;Pfefferminze;STOFF-HRB-000020;Ultrarealistisches Foto von getrockneter grüner Minze, Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000021;Kraut;Laurus nobilis;Lorbeerblatt;Bay Leaf;Active;Mittelmeer;Aromablatt für Fonds und Saucen.;Lauraceae;Blätter;Trocknung;Ganz;balsamisch|würzig;1,8-Cineol;Eintopf|Wild;Nicht mitessen (zäh);—;Trocken/Dunkel;36;;;;;;;;09109991;—;1-2 Blätter mitkochen;Piment + Thymian;STOFF-HRB-000021;Ultrarealistisches Foto von getrockneten Lorbeerblättern, olivgrün, ganz, Makro, 8k;kein frischer Zweig;Foto;;;—
STOFF-HRB-000022;Kraut;Lavandula angustifolia;Lavendelblüten;Lavender;Active;Provence;Duft- und Küchenkraut.;Lamiaceae;Blüten;Trocknung;Blüten;blumig|krautig;Linalool;Honig|Desserts;Sehr sparsam dosieren;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Prise in Zucker/Sirup;Rosmarin oder Melisse;STOFF-HRB-000022;Ultrarealistisches Foto von getrockneten Lavendelblüten, violett, Makro, 8k;kein Duftöl;Foto;;;—
STOFF-HRB-000023;Kraut;Matricaria chamomilla;Kamillenblüten;Chamomile;Active;Europa;Traditioneller Tee, blumig-mild.;Asteraceae;Blüten;Trocknung;Blütenköpfe;blumig|mild;Bisabolol;Tee|Desserts;Korbblütler-Allergie;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Als Tee aufgießen;Lindenblüte;STOFF-HRB-000023;Ultrarealistisches Foto von getrockneten Kamillenblüten, gelb-weiß, Makro, 8k;kein frischer Strauß;Foto;;;—
STOFF-HRB-000024;Kraut;Allium schoenoprasum;Schnittlauch;Chives;Active;Europa;Klassisch für Quark und Eier.;Amaryllidaceae;Blätter;Trocknung;Röllchen;mild zwiebelig;Schwefel;Eier|Quark;Keine;—;Trocken/Dunkel;12;;;;;;;;07129090;—;Am Ende zugeben;Frühlingszwiebelgrün;STOFF-HRB-000024;Ultrarealistisches Foto von getrocknetem Schnittlauch, grüne Ringe, Makro, 8k;kein frischer Bund;Foto;;;—
STOFF-HRB-000025;Kraut;Allium ursinum;Bärlauch;Wild Garlic;Active;Alpenraum;Saisonales Wildkraut, knoblauchartig.;Amaryllidaceae;Blätter;Trocknung;Flocken;knoblauchig|würzig;Schwefel;Butter|Pasta;Keine;—;Trocken/Dunkel;12;;;;;;;;07129090;—;Gut in Butter/Öl;Knoblauch + Petersilie;STOFF-HRB-000025;Ultrarealistisches Foto von getrocknetem Bärlauch, Blattflocken, Makro, 8k;kein frisches Blatt;Foto;;;—
STOFF-HRB-000026;Kraut;Levisticum officinale;Liebstöckel;Lovage;Active;Europa;Kräftiges Suppenkraut (Maggikraut).;Apiaceae;Blätter;Trocknung;Geschnitten;würzig|umami;Phthalide;Brühe|Eintopf;Keine;—;Trocken/Dunkel;24;;;;;;;;07129090;—;Sehr sparsam mitkochen;Sellerieblatt;STOFF-HRB-000026;Ultrarealistisches Foto von getrocknetem Liebstöckel, Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000027;Kraut;Satureja hortensis;Bohnenkraut;Summer Savory;Active;Europa;Klassisch zu Bohnen, pfeffrig.;Lamiaceae;Blätter;Trocknung;Gerebelt;pfeffrig|warm;Carvacrol;Bohnen|Linsen;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Gegen „Bohnen-Schwere“;Thymian;STOFF-HRB-000027;Ultrarealistisches Foto von getrocknetem Bohnenkraut, grün-braun, Makro, 8k;kein frischer Zweig;Foto;;;—
STOFF-HRB-000028;Kraut;Satureja montana;Bohnenkraut (Winter);Winter Savory;Active;Mittelmeer;Robuster und harziger.;Lamiaceae;Blätter;Trocknung;Gerebelt;pfeffrig|harzig;Thymol;Wild|Bohnen;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Passt zu langen Garzeiten;Sommerbohnenkraut;STOFF-HRB-000028;Ultrarealistisches Foto von getrocknetem Winterbohnenkraut, Makro, 8k;kein frischer Zweig;Foto;;;—
STOFF-HRB-000029;Kraut;Foeniculum vulgare;Fenchelgrün;Fennel Fronds;Active;Mittelmeer;Klassisch zu Fisch, anisig.;Apiaceae;Blätter;Trocknung;Feinschnitt;anisartig|frisch;Anethol;Fisch|Tomate;Keine;—;Trocken/Dunkel;12;;;;;;;;07129090;—;Am Ende zugeben;Dill oder Fenchelsamen;STOFF-HRB-000029;Ultrarealistisches Foto von getrocknetem Fenchelgrün, fiedrig, Makro, 8k;keine Samen;Foto;;;—
STOFF-HRB-000030;Kraut;Ocimum basilicum var. thyrsiflora;Thai-Basilikum;Thai Basil;Active;Südostasien;Typische anisige Basilikum-Note.;Lamiaceae;Blätter;Trocknung;Geschnitten;basilikum|anisig;Estragol;Pho|Curry;Keine;—;Trocken/Dunkel;12;;;;;;;;12119086;—;Kurz vor dem Servieren;Basilikum + Estragon;STOFF-HRB-000030;Ultrarealistisches Foto von getrocknetem Thai-Basilikum, Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000031;Kraut;Perilla frutescens;Shiso (Grün);Shiso;Active;Japan;Typisch zu Sushi, minzig-anisig.;Lamiaceae;Blätter;Trocknung;Geschnitten;grün|minzig;Perillaldehyd;Fisch|Pickles;Keine;—;Trocken/Dunkel;12;;;;;;;;12119086;—;Fein dosieren;Basilikum + Minze;STOFF-HRB-000031;Ultrarealistisches Foto von getrocknetem Shiso, dunkelgrün, Makro, 8k;kein Sushi;Foto;;;—
STOFF-HRB-000032;Kraut;Murraya koenigii;Curryblätter;Curry Leaves;Active;Indien;Schlüsselaroma für Tadka.;Rutaceae;Blätter;Trocknung;Ganz/Bruch;würzig|zitrus;Mahanimbin;Dal|Curry;Keine;—;Trocken/Dunkel;24;;;;;;;;09109991;—;In heißem Fett anrösten;Lorbeer + Zitronenschale;STOFF-HRB-000032;Ultrarealistisches Foto von getrockneten Curryblättern, olivgrün, Makro, 8k;kein frischer Zweig;Foto;;;—
STOFF-HRB-000033;Kraut;Citrus hystrix;Kaffirlimettenblätter;Makrut Lime Leaves;Active;Südostasien;Essenziell für Tom Yum.;Rutaceae;Blätter;Trocknung;Ganz;zitrus|ätherisch;Citronellal;Curry|Tom Yum;Zäh (meist entfernen);—;Trocken/Dunkel;24;;;;;;;;09109991;—;Mitkochen und entfernen;Limettenschale;STOFF-HRB-000033;Ultrarealistisches Foto von getrockneten Makrut-Limettenblättern, Makro, 8k;kein frisches Blatt;Foto;;;—
STOFF-HRB-000034;Kraut;Trigonella foenum-graecum;Bockshornklee-Blätter;Kasuri Methi;Active;Indien;Ahornartiges Aroma Nordindiens.;Fabaceae;Blätter;Trocknung;Flockig;würzig|heu;Sotolon;Butter Chicken|Brot;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Zwischen den Fingern zerreiben;Bockshornkleesamen + Spinat;STOFF-HRB-000034;Ultrarealistisches Foto von getrockneten Kasuri-Methi-Blättern, Makro, 8k;kein Curry;Foto;;;—
STOFF-HRB-000035;Kraut;Petroselinum crispum var. neapolitanum;Petersilie (glatt);Flat-Leaf Parsley;Active;Europa;Aromatischer als kraus.;Apiaceae;Blätter;Trocknung;Feinschnitt;grün|würzig;Apiol;Saucen|Fisch;Keine;—;Trocken/Dunkel;12;;;;;;;;07129090;—;Am Ende zugeben;Krause Petersilie;STOFF-HRB-000035;Ultrarealistisches Foto von getrockneter glatter Petersilie, Makro, 8k;kein frischer Bund;Foto;;;—
STOFF-HRB-000036;Kraut;Pandanus amaryllifolius;Pandanblätter;Pandan Leaves;Active;Südostasien;Duftblatt für Reis und Kokos.;Pandanaceae;Blätter;Trocknung;Streifen;vanillig|grün;2-Acetyl-1-pyrrolin;Reis|Dessert;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;In Kokosmilch mitziehen;Vanille;STOFF-HRB-000036;Ultrarealistisches Foto von getrockneten Pandanblättern, Streifen, Makro, 8k;kein frisches Blatt;Foto;;;—
STOFF-HRB-000037;Kraut;Eryngium foetidum;Culantro;Culantro;Active;Karibik;Kräftiger Koriander-Ersatz.;Apiaceae;Blätter;Trocknung;Geschnitten;korianderartig;Dodecenal;Salsa|Suppen;Keine;—;Trocken/Dunkel;12;;;;;;;;07129090;—;Sehr sparsam;Koriandergrün;STOFF-HRB-000037;Ultrarealistisches Foto von getrocknetem Culantro, Makro, 8k;keine Samen;Foto;;;—
STOFF-HRB-000038;Kraut;Persicaria odorata;Vietn. Koriander;Rau Ram;Active;Vietnam;Pfeffrig-korianderartig.;Polygonaceae;Blätter;Trocknung;Geschnitten;pfeffrig|krautig;Decanal;Pho|Salat;Keine;—;Trocken/Dunkel;12;;;;;;;;12119086;—;Kurz vor dem Servieren;Koriandergrün + Pfeffer;STOFF-HRB-000038;Ultrarealistisches Foto von getrocknetem Rau Ram, Makro, 8k;kein frisches Blatt;Foto;;;—
STOFF-HRB-000039;Kraut;Dysphania ambrosioides;Epazote;Epazote;Active;Mexiko;Traditionell zu Bohnen.;Amaranthaceae;Blätter;Trocknung;Geschnitten;harzig|medizinisch;Ascaridol;Bohnen|Eintopf;Sehr sparsam dosieren;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Mitkochen bei Bohnen;Bohnenkraut;STOFF-HRB-000039;Ultrarealistisches Foto von getrocknetem Epazote, Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000040;Kraut;Ocimum tenuiflorum;Tulsi;Holy Basil;Active;Indien;Heiliges Kraut im Ayurveda.;Lamiaceae;Blätter;Trocknung;Geschnitten;würzig|warm;Eugenol;Tee|Curry;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Als Tee aufgießen;Basilikum + Nelke;STOFF-HRB-000040;Ultrarealistisches Foto von getrocknetem Tulsi, Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000041;Kraut;Perilla frutescens var. crispa;Shiso (Rot);Red Shiso;Active;Japan;Für Umeboshi-Färbung.;Lamiaceae;Blätter;Trocknung;Geschnitten;krautig|anisig;Perillaldehyd;Reis|Pickles;Keine;—;Trocken/Dunkel;12;;;;;;;;12119086;—;Am Ende zugeben;Shiso (Grün);STOFF-HRB-000041;Ultrarealistisches Foto von getrocknetem roten Shiso, Makro, 8k;kein Sushi;Foto;;;—
STOFF-HRB-000042;Kraut;Lippia graveolens;Mex. Oregano;Mexican Oregano;Active;Mexiko;Kräftiger als mediterraner Oregano.;Verbenaceae;Blätter;Trocknung;Gerebelt;kräftig|herb;Carvacrol;Chili|Salsa;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;In Salsas verwenden;Oregano + Kreuzkümmel;STOFF-HRB-000042;Ultrarealistisches Foto von getrocknetem mexikanischem Oregano, Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000043;Kraut;Backhousia citriodora;Zitronenmyrte;Lemon Myrtle;Active;Australien;Extrem zitroniges Aroma.;Myrtaceae;Blätter;Trocknung;Geschnitten;sehr zitronig;Citral;Tee|Fisch;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Fein dosieren;Zitronenverbene;STOFF-HRB-000043;Ultrarealistisches Foto von getrockneter Zitronenmyrte, Makro, 8k;kein frisches Blatt;Foto;;;—
STOFF-HRB-000044;Kraut;Cinnamomum tamala;Tej Patta;Indian Bay Leaf;Active;Indien;Aromablatt für Biryani.;Lauraceae;Blätter;Trocknung;Ganz;warm|balsamisch;Cinnamaldehyd;Biryani|Curry;Nicht mitessen (zäh);—;Trocken/Dunkel;24;;;;;;;;09109991;—;1–2 Blätter mitgaren;Lorbeer;STOFF-HRB-000044;Ultrarealistisches Foto von getrockneten Tej-Patta-Blättern, Makro, 8k;kein Pulver;Foto;;;—
STOFF-HRB-000045;Kraut;Urtica dioica;Brennnesselblatt;Nettle Leaf;Active;Europa;Für Tee und Frühlingssuppen.;Urticaceae;Blätter;Trocknung;Geschnitten;grün|mild;Kieselsäure;Tee|Suppe;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Als Tee aufgießen;Spinat + Petersilie;STOFF-HRB-000045;Ultrarealistisches Foto von getrockneten Brennnesselblättern, Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000046;Kraut;Thymus vulgaris;Thymian;Thyme;Active;—;Klassisches Küchenkraut.;Lamiaceae;Blätter;Trocknung;Gerebelt;würzig|warm;Thymol;Schmorgerichte;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Gerebelt mitgaren;Oregano;STOFF-HRB-000046;Ultrarealistisches Foto von getrocknetem Thymian (gerebelt), Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000047;Kraut;Origanum majorana;Majoran;Marjoram;Active;—;Klassisch in Wurstküche.;Lamiaceae;Blätter;Trocknung;Gerebelt;warm|süßlich;Terpinen-4-ol;Wurst|Kartoffeln;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Am Ende für feine Noten;Oregano;STOFF-HRB-000047;Ultrarealistisches Foto von getrocknetem Majoran (gerebelt), Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000048;Kraut;Laurus nobilis;Lorbeerblatt;Bay Leaf;Active;—;Für Fonds und Saucen.;Lauraceae;Blätter;Trocknung;Ganz;balsamisch|würzig;1,8-Cineol;Fonds|Wild;Nicht mitessen (zäh);—;Trocken/Dunkel;36;;;;;;;;09109991;—;Mitkochen und entfernen;Piment + Thymian;STOFF-HRB-000048;Ultrarealistisches Foto von getrockneten Lorbeerblättern, Makro, 8k;kein frischer Zweig;Foto;;;—
STOFF-HRB-000049;Kraut;Mentha spicata;Grüne Minze;Spearmint;Active;—;Häufig in Nahost-Küche.;Lamiaceae;Blätter;Trocknung;Geschnitten;minzig|mild;Carvon;Joghurt|Getränke;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Gut für kalte Anwendungen;Pfefferminze;STOFF-HRB-000049;Ultrarealistisches Foto von getrockneter grüner Minze, Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000050;Kraut;Lavandula angustifolia;Lavendelblüten;Lavender;Active;—;Sehr sparsam dosieren.;Lamiaceae;Blüten;Trocknung;Blüten;blumig|parfümiert;Linalylacetat;Dessert|Tee;Sehr sparsam dosieren;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Prise in Zucker/Sirup;Melisse;STOFF-HRB-000050;Ultrarealistisches Foto von getrockneten Lavendelblüten, Makro, 8k;kein Duftöl;Foto;;;—
STOFF-HRB-000051;Kraut;Matricaria chamomilla;Kamillenblüten;Chamomile Flowers;Active;Europa;Traditionelles Kräutertee-Material.;Asteraceae;Blüten;Trocknung;Blütenköpfe;blumig|apfelig;α-Bisabolol;Tee|Milch;Korbblütler-Allergie;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Als Tee aufgießen;Lindenblüte;STOFF-HRB-000051;Ultrarealistisches Foto von getrockneten Kamillenblüten, gelb-weiß, 8k;kein Teebeutel;Foto;;;—
STOFF-HRB-000052;Kraut;Petroselinum crispum var. neapolitanum;Petersilie (glatt);Flat-Leaf Parsley;Active;Europa;Aromatischer als kraus.;Apiaceae;Blätter;Trocknung;Feinschnitt;grün|würzig;Apiol;Saucen|Fisch;Keine;—;Trocken/Dunkel;12;;;;;;;;07129090;—;Am Ende zugeben;Kerbel;STOFF-HRB-000052;Ultrarealistisches Foto von getrockneter glatter Petersilie, 8k;kein Pesto;Foto;;;—
STOFF-HRB-000053;Kraut;Artemisia dracunculus;Estragon;Tarragon;Active;Europa;Typisch für französische Küche.;Asteraceae;Blätter;Trocknung;Geschnitten;anisartig|würzig;Estragol;Huhn|Fisch;Estragol beachten;—;Trocken/Dunkel;18;;;;;;;;12119086;—;Am Ende zugeben;Kerbel oder Fenchelgrün;STOFF-HRB-000053;Ultrarealistisches Foto von getrocknetem Estragon, 8k;kein frischer Bund;Foto;;;—
STOFF-HRB-000054;Kraut;Mentha × piperita;Pfefferminze;Peppermint;Active;Europa;Klassischer Kräutertee.;Lamiaceae;Blätter;Trocknung;Geschnitten;minzig|kühl;Menthol;Tee|Schokolade;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;5-8 Min ziehen lassen;Grüne Minze;STOFF-HRB-000054;Ultrarealistisches Foto von getrockneter Pfefferminze, 8k;kein Menthol-Kristall;Foto;;;—
STOFF-HRB-000055;Kraut;Melissa officinalis;Zitronenmelisse;Lemon Balm;Active;Europa;Teekraut mit Zitrusnote.;Lamiaceae;Blätter;Trocknung;Geschnitten;zitronig|frisch;Citral;Tee|Fisch;Keine;—;Trocken/Dunkel;12;;;;;;;;12119086;—;Als Tee aufgießen;Zitronenverbene;STOFF-HRB-000055;Ultrarealistisches Foto von getrockneter Zitronenmelisse, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000056;Kraut;Ocimum basilicum;Basilikum;Basil;Active;Europa;Mediterranes Küchenkraut.;Lamiaceae;Blätter;Trocknung;Geschnitten;süßlich|würzig;Linalool;Tomate|Pasta;Keine;—;Trocken/Dunkel;12;;;;;;;;12119086;—;Kurz mitkochen;Oregano;STOFF-HRB-000056;Ultrarealistisches Foto von getrocknetem Basilikum, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000057;Kraut;Origanum vulgare;Oregano;Oregano;Active;Mittelmeer;Typisch für Tomate und Pizza.;Lamiaceae;Blätter;Trocknung;Gerebelt;kräftig|herb;Carvacrol;Pizza|Lamm;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Mitkochen möglich;Majoran;STOFF-HRB-000057;Ultrarealistisches Foto von getrocknetem Oregano, 8k;kein frisches Kraut;Foto;;;—
