ID_Neu;Rezept_ID;Kategorie;EntityType;Name;Lateinischer Name/Typ;Region-Tags;Parent/Überbegriff;Stufe;Mix_Typ;Band-Refs;Priorität (1–5);Notizen;Preparation_Notes;Chemische Gruppe;Ingredient_List;Ingredient_Unit;Total_Weight;Cost_Estimate;Variant_Refs;Rezept_Version;Source_Type;Yield_Info;Author_Note;SensorikProfil;PhysikalischeForm;Has_Variants;Regulatorik;CITES;Cross-Refs;Illu_Path;Illu_Pfad;Has_Illu;Illu-PlH;Has_QR;QR-PlH;CITES/Regulatory;Datasheet-Status
GE_000014;;Gewürze;Stoff;Chipotle;Capsicum annuum (geräuchert);Mexiko;;1;;B6;3;rauch-scharf;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/chipotle.png;;0;;0;;;Todo
GE_000015;;Gewürze;Stoff;Cumin (Schwarzkümmel-Kreuzkümmel);Bunium bulbocastanum;Mittelmeer;;1;;B12;2;nicht Nigella;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/cumin-schwarzkuemmel-kreuzkuemmel.png;;0;;0;;;Todo
GE_000016;;Gewürze;Stoff;Dillsamen;Anethum graveolens (Semen);"Europa; Asien";;1;;B12;3;Pickles;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/dillsamen.png;;0;;0;;;Todo
GE_000017;;Gewürze;Stoff;Fenchelsamen;Foeniculum vulgare (Semen);"Mittelmeer; Asien";;1;;B12;4;anetholhaltig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/fenchelsamen.png;;0;;0;;;Todo
GE_000018;;Gewürze;Stoff;Galgant;Alpinia galanga;SE-Asien;;1;;B7;4;Cineol/Eugenol;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/galgant.png;;0;;0;;;Todo
GE_000019;;Gewürze;Stoff;Grains of Selim;Xylopia aethiopica;Westafrika;;1;;B9;3;pfeffrig-rauchig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/grains-of-selim.png;;0;;0;;lebensmittelstandard;Todo
GE_000020;;Gewürze;Stoff;Grüner Pfeffer;Piper nigrum;"Indien; Tropen";;1;;B4;4;frisch eingelegt/trocken;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/gruener-pfeffer.png;;0;;0;;;Todo
GE_000021;;Gewürze;Stoff;Guajillo Chili;Capsicum annuum (Guajillo);Mexiko;;1;;B6;3;beerig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/guajillo-chili.png;;0;;0;;;Todo
GE_000022;;Gewürze;Stoff;Habanero;Capsicum chinense;Karibik;;1;;B6;3;sehr scharf, fruchtig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/habanero.png;;0;;0;;;Todo
GE_000023;;Gewürze;Stoff;Ingwer;Zingiber officinale;"Indien; China";;1;;B7;5;Gingerole;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/ingwer.png;;0;;0;;;Todo
GE_000024;;Gewürze;Stoff;Javanischer Langer Pfeffer;Piper retrofractum;Indonesien;Langer Pfeffer;1;;B4;3;süß-warm;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/javanischer-langer-pfeffer.png;;0;;0;;lebensmittelstandard;Todo
GE_000025;;Gewürze;Stoff;Kaffeegewürz (Kardamom);Elettaria cardamomum (für Kaffee);Arabische Halbinsel;Kardamom (Grün);1;;B9;2;kaffee-aroma;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kaffeegewuerz-kardamom.png;;0;;0;;lebensmittelstandard;Todo
GE_000026;;Gewürze;Stoff;Kaffirlimettenblatt;Citrus hystrix (Blatt);SE-Asien;;1;;B11;3;zitronig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kaffirlimettenblatt.png;;0;;0;;;Todo
GE_000027;;Gewürze;Stoff;Kampferlorbeer (Lorbeer);Laurus nobilis (Blatt);Mittelmeer;;1;;B10;4;klassisches Blattgewürz;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kampferlorbeer-lorbeer.png;;0;;0;;;Todo
GE_000028;;Gewürze;Stoff;Kampotpfeffer;Piper nigrum (GI);Kambodscha;Schwarzer Pfeffer;1;;B4;3;g.g.A.;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kampotpfeffer.png;;0;;0;;;Todo
GE_000029;;Gewürze;Stoff;Kardamom (Grün);Elettaria cardamomum;"Indien; Guatemala";;1;;B9;5;süß-frisch;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kardamom-gruen.png;;0;;0;;;Todo
GE_000030;;Gewürze;Stoff;Kardamom (Schwarz);Amomum subulatum;Himalaya;;1;;B9;3;rauchig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kardamom-schwarz.png;;0;;0;;;Todo
GE_000031;;Gewürze;Stoff;Koriandersamen;Coriandrum sativum (Semen);"Mittelmeer; Asien";;1;;B12;4;zitronig-warm;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/koriandersamen.png;;0;;0;;;Todo
GE_000032;;Gewürze;Stoff;Kreuzkümmel;Cuminum cyminum;"Westasien; Mittelmeer";;1;;B9;5;Ras el Hanout, Currys;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kreuzkuemmel.png;;0;;0;;;Todo
GE_000033;;Gewürze;Stoff;Kubeben-Zitronenmix (Mahlung);Piper cubeba + Citrus;Indonesien;Kubebenpfeffer;1;;B4/B27;2;zitrus-kampfer;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kubeben-zitronenmix-mahlung.png;;0;;0;;lebensmittelstandard;Todo
GE_000034;;Gewürze;Stoff;Kubebenpfeffer;Piper cubeba;Indonesien;;1;;B4;3;kampferig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kubebenpfeffer.png;;0;;0;;;Todo
GE_000035;;Gewürze;Stoff;Kümmel (Echter);Carum carvi;"Europa; Westasien";;1;;B12;4;Brotgewürz;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kuemmel-echter.png;;0;;0;;;Todo
GE_000036;;Gewürze;Stoff;Kurkuma;Curcuma longa;"Indien; SE-Asien";;1;;B7;5;Curcumin;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kurkuma.png;;0;;0;;;Todo
GE_000037;;Gewürze;Stoff;Langer Pfeffer;Piper longum;"Indien; SE-Asien";;1;;B4;4;Ayurveda;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/langer-pfeffer.png;;0;;0;;;Todo
GE_000038;;Gewürze;Stoff;Liebstöckel-Samen;Levisticum officinale (Semen);Europa;;1;;B12;2;sellerieartig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/liebstoeckel-samen.png;;0;;0;;lebensmittelstandard;Todo
GE_000039;;Gewürze;Stoff;Mahlab/Mahlep;Prunus mahaleb (Kern);"Nahost; Balkan";;1;;B12;2;mandelig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/mahlab-mahlep.png;;0;;0;;;Todo
GE_000040;;Gewürze;Stoff;Meerrettich/Kren;Armoracia rusticana;Mitteleuropa;;1;;B8;3;Isothiocyanate;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/meerrettich-kren.png;;0;;0;;;Todo
GE_000041;;Gewürze;Stoff;Mohnsamen (blau);Papaver somniferum (Semen);"Europa; Asien";;1;;B12;3;nussig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/mohnsamen-blau.png;;0;;0;;Lebensmittelrecht je Land;Todo
GE_000042;;Gewürze;Stoff;Muskatblüte (Macis);Myristica fragrans (Macis);"Molukken; Karibik";;1;;B9;3;feiner, blumiger;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/muskatbluete-macis.png;;0;;0;;;Todo
GE_000043;;Gewürze;Stoff;Muskatnuss;Myristica fragrans (Nux);"Molukken; Karibik";;1;;B9;4;wärmend;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/muskatnuss.png;;0;;0;;;Todo
GE_000044;;Gewürze;Stoff;Nelken;Syzygium aromaticum;Indonesien (Molukken);;1;;B5;5;Eugenol;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/nelken.png;;0;;0;;;Todo
GE_000045;;Gewürze;Stoff;Nigella/Schwarzkümmel;Nigella sativa;"Westasien; Indien";;1;;B12;4;nussig, zwiebelig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/nigella-schwarzkuemmel.png;;0;;0;;;Todo
GE_000046;;Gewürze;Stoff;Panch Phoron (Komponenten);"Fenchel; Kreuzkümmel; Schwarzkümmel; Senf; Bockshornklee";Bengalen;;1;;B9/B12;2;für Blend;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/panch-phoron-komponenten.png;;0;;0;;;Todo
GE_000047;;Gewürze;Stoff;Paprika geräuchert;Capsicum annuum (pimentón);Spanien;;1;;B6/B9;4;rauchig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/paprika-geraeuchert.png;;0;;0;;;Todo
GE_000048;;Gewürze;Stoff;Paprika süß;Capsicum annuum (dulce);Amerika → global;;1;;B6/B9;4;mild, rot;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/paprika-suess.png;;0;;0;;;Todo
GE_000049;;Gewürze;Stoff;Paradewürze (Selim + Gewürze);Xylopia aethiopica + Mix;Westafrika;Grains of Selim;1;;B9/B27;2;rauchig, pfeffrig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/paradewuerze-selim-gewuerze.png;;0;;0;;lebensmittelstandard;Todo
GE_000050;;Gewürze;Stoff;Paradieskörner;Aframomum melegueta;Westafrika;;1;;B4;3;muskatig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/paradieskoerner.png;;0;;0;;;Todo
GE_000051;;Gewürze;Stoff;Pfeffer (Lampong);Piper nigrum (GI);Indonesien (Sumatra);Schwarzer Pfeffer;1;;B4;3;frisch, zitronig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/pfeffer-lampong.png;;0;;0;;lebensmittelstandard;Todo
GE_000052;;Gewürze;Stoff;Pfeffer (Sarawak);Piper nigrum (GI);Malaysia (Borneo);Schwarzer Pfeffer;1;;B4;3;hell-würzig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/pfeffer-sarawak.png;;0;;0;;lebensmittelstandard;Todo
GE_000053;;Gewürze;Stoff;Pfefferkubeben (tail pepper);Piper cubeba;Indonesien;;1;;B4;3;kampferig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/pfefferkubeben-tail-pepper.png;;0;;0;;lebensmittelstandard;Todo
GE_000054;;Gewürze;Stoff;Piment/Allspice;Pimenta dioica;Karibik;;1;;B9;4;Nelken-Zimt-Muskat;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/piment-allspice.png;;0;;0;;;Todo
GE_000055;;Gewürze;Stoff;Pimentón (Dulce);Capsicum annuum (pimentón dulce);Spanien (Extremadura);Paprika süß;1;;B6/B9;3;süß-rauchig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/pimenton-dulce.png;;0;;0;;lebensmittelstandard;Todo
GE_000056;;Gewürze;Stoff;Pimentón (Picante);Capsicum annuum (pimentón picante);Spanien (Extremadura);Paprika scharf;1;;B6/B9;3;scharf-rauchig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/pimenton-picante.png;;0;;0;;lebensmittelstandard;Todo
GE_000057;;Gewürze;Stoff;Pimentón de la Vera;Capsicum annuum (DO);Spanien (Extremadura);Paprika geräuchert;1;;B6/B9;3;g.U.;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/pimenton-de-la-vera.png;;0;;0;;;Todo
GE_000058;;Gewürze;Stoff;Pippali-Blend (Ayurveda);Piper longum + Gewürze;Indien;Langer Pfeffer;1;;B4/B27;2;wärmend-tonisch;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/pippali-blend-ayurveda.png;;0;;0;;lebensmittelstandard;Todo
GE_000059;;Gewürze;Stoff;Ras el Hanout-Komponentenmix;div. Gewürze;Maghreb;;1;;B9/B27;2;für Blend;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/ras-el-hanout-komponentenmix.png;;0;;0;;;Todo
GE_000060;;Gewürze;Stoff;Rosa Pfeffer (Schinus);Schinus terebinthifolius;Südamerika;;1;;B4;3;fruchtig, dekorativ;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/rosa-pfeffer-schinus.png;;0;;0;;;Todo
GE_000061;;Gewürze;Stoff;Roter Pfeffer (Piper);Piper nigrum (vollreif);"Indien; Tropen";;1;;B4;3;selten, süßlich;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/roter-pfeffer-piper.png;;0;;0;;;Todo
GE_000062;;Gewürze;Stoff;Safran (Khorasan);Crocus sativus;Iran;Safran;1;;B6;4;hochwertig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/safran-khorasan.png;;0;;0;;;Todo
GE_000063;;Gewürze;Stoff;Safran (La Mancha);Crocus sativus (DOP);Spanien;Safran;1;;B6;4;DOP;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/safran-la-mancha.png;;0;;0;;;Todo
GE_000064;;Gewürze;Stoff;Schwarzer Pfeffer;Piper nigrum;"Indien; Tropen";;1;;B4;5;Kerngewürz;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/schwarzer-pfeffer.png;;0;;0;;;Todo
GE_000065;;Gewürze;Stoff;Senfsaat (Braun);Brassica juncea;"Indien; China";;1;;B9;3;scharf;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/senfsaat-braun.png;;0;;0;;;Todo
GE_000066;;Gewürze;Stoff;Senfsaat (Gelb);Sinapis alba;"Europa; global";;1;;B9;3;mild-scharf;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/senfsaat-gelb.png;;0;;0;;;Todo
GE_000067;;Gewürze;Stoff;Senfsaat (Schwarz);Brassica nigra;"Mittelmeer; Westasien";;1;;B9;3;sehr scharf;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/senfsaat-schwarz.png;;0;;0;;;Todo
GE_000068;;Gewürze;Stoff;Sesam (schwarz);Sesamum indicum (Semen, schwarz);Asien;Sesam (weiß);1;;B12;3;intensiver, dekorativ;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/sesam-schwarz.png;;0;;0;;lebensmittelstandard;Todo
GE_000069;;Gewürze;Stoff;Sesam (weiß);Sesamum indicum (Semen);"Asien; Afrika";;1;;B12;4;nussig, ölreich;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/sesam-weiss.png;;0;;0;;lebensmittelstandard;Todo
GE_000070;;Gewürze;Stoff;Sternanis;Illicium verum;"China; Vietnam";;1;;B9;4;Fünf-Gewürze;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/sternanis.png;;0;;0;;;Todo
GE_000071;;Gewürze;Stoff;Süßholz;Glycyrrhiza glabra;"Europa; Asien";;1;;B8;3;glycyrrhizin-süß;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/suessholz.png;;0;;0;;;Todo
GE_000072;;Gewürze;Stoff;Sumach;Rhus coriaria;"Nahost; Mittelmeer";;1;;B9;4;säuerlich;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/sumach.png;;0;;0;;;Todo
GE_000073;;Gewürze;Stoff;Sumach (Syrischer);Rhus coriaria (syr.);Levant;Sumach;1;;B9;3;heller, säurebetont;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/sumach-syrischer.png;;0;;0;;lebensmittelstandard;Todo
GE_000074;;Gewürze;Stoff;Sumatra-Andaliman-Mix;Zanthoxylum acanthopodium + Gewürze;Sumatra;;1;;B4/B27;2;regionaler Mix;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/sumatra-andaliman-mix.png;;0;;0;;;Todo
GE_000075;;Gewürze;Stoff;Szechuan (Sansho);Zanthoxylum piperitum;Japan;Szechuan-Verwandter;1;;B4;3;kribbelnd, zitronig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/szechuan-sansho.png;;0;;0;;lebensmittelstandard;Todo
GE_000076;;Gewürze;Stoff;Szechuan (Timut);Zanthoxylum armatum var. timur;Nepal;Szechuan-Verwandter;1;;B4;2;zitrus-prickelnd;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/szechuan-timut.png;;0;;0;;lebensmittelstandard;Todo
GE_000077;;Gewürze;Stoff;Szechuanpfeffer;Zanthoxylum spp.;"China; Japan";;1;;B4;5;Sanshool-Effekt;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/szechuanpfeffer.png;;0;;0;;;Todo
GE_000078;;Gewürze;Stoff;Tamarinde;Tamarindus indica (Pulpa);"Afrika; Indien";;1;;B9;3;säuerlich;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/tamarinde.png;;0;;0;;;Todo
GE_000079;;Gewürze;Stoff;Tellicherry-Pfeffer;Piper nigrum (TGSEB);Indien (Kerala);Schwarzer Pfeffer;1;;B4;4;Großkorn;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/tellicherry-pfeffer.png;;0;;0;;;Todo
GE_000080;;Gewürze;Stoff;Tonkabohne;Dipteryx odorata;Südamerika;;1;;B9;3;vanille-mandel;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/tonkabohne.png;;0;;0;;Aromastoffe/Cumarin-Hinweise;Todo
GE_000081;;Gewürze;Stoff;Urfa Biber;Capsicum annuum (Urfa);Türkei;;1;;B6;3;raisin-like;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/urfa-biber.png;;0;;0;;;Todo
GE_000082;;Gewürze;Stoff;Vanille (Bourbon);Vanilla planifolia (GI);"Madagaskar; Réunion";Vanille;1;;B5;5;Grad A–C;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/vanille-bourbon.png;;0;;0;;;Todo
GE_000083;;Gewürze;Stoff;Vanille (Tahiti);Vanilla tahitensis;Tahiti;Vanille;1;;B5;3;anisig, blumig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/vanille-tahiti.png;;0;;0;;;Todo
GE_000084;;Gewürze;Stoff;Vanille (Uganda);Vanilla planifolia (GI);Uganda;Vanille;1;;B5;3;kräftig, kakaonote;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/vanille-uganda.png;;0;;0;;lebensmittelstandard;Todo
GE_000085;;Gewürze;Stoff;Voatsiperifery;Piper borbonense;Madagaskar;;1;;B4;3;wild, pfeffrig-zitronig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/voatsiperifery.png;;0;;0;;;Todo
GE_000086;;Gewürze;Stoff;Wasabi (echter);Eutrema japonicum;Japan;;1;;B8;2;rar;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/wasabi-echter.png;;0;;0;;;Todo
