Rezept_ID;Parent_Name;Detail_ID;Variant_Name;Ingredient_List;Ingredient_Unit;Total_Weight;Preparation_Notes;SensorikProfil;PhysikalischeForm;Mix_Typ;Region_Tag;Source;Status;Cost_Estimate;Yield_Info;Rezept_Version;Source_Type;Author_Note;Illu_Path;Illu_Variant_Path;Parent_ID_Neu;Parent_Mix
ME_000012-ORG-1;Chinese Five Spice;ORG-1;🟩;Sternanis (gem.)|30|30||Fenchelsamen (gem.)|20|20||Zimt Cassia (gem.)|20|20||Szechuanpfeffer (gem.)|15|15||Nelken (gem.)|15|15;g|%;100;Gewürze kurz rösten (außer gem. Zimt), fein mahlen, mischen.;;;;China;The Spruce Eats — Five-Spice Powder — https://www.thespruceeats.com/how-to-make-five-spice-powder-4065302;aktiv;;;;Primärquelle;;;;ME_000012;
ME_000013-ORG-1;Dukkah;ORG-1;🟩;Haselnüsse (geröstet, grob)|35|35||Sesam (geröstet)|30|30||Koriander (gem.)|15|15||Kreuzkümmel (gem.)|12|12||Fenchel (gem.)|5|5||Salz|3|3;g|%;100;"Nüsse und Samen getrennt rösten, grob mahlen; Gewürze mahlen und alles mischen.";;;;Ägypten;The Mediterranean Dish — Dukkah — https://www.themediterraneandish.com/dukkah-recipe/;aktiv;;;;Primärquelle;;;;ME_000013;
ME_000014-ORG-1;Fines Herbes;ORG-1;🟩;Estragon (getr., fein)|25|25||Kerbel (getr., fein)|25|25||Schnittlauch (getr., fein)|25|25||Petersilie (getr., fein)|25|25;g|%;100;"Klassisch frisch; hier als fein geschnittene Trockenmischung für Omeletts, Saucen.";;;;Frankreich;The Spruce Eats — Fines Herbes — https://www.thespruceeats.com/fines-herbes-seasoning-mix-recipe-1809295;aktiv;;;;Primärquelle;;;;ME_000014;
ME_000015-ORG-1;Furikake (Basis);ORG-1;🟩;Sesam (geröstet)|35|35||Katsuobushi/Bonito (Flocken)|25|25||Nori (zerbröselt)|20|20||Zucker|10|10||Salz|10|10;g|%;100;"Sesam rösten, Nori zerbröseln; alle Zutaten homogen mischen.";;;;Japan;Just One Cookbook — Furikake — https://www.justonecookbook.com/homemade-furikake-rice-seasoning/;aktiv;;;;Primärquelle;;;;ME_000015;
ME_000016-ORG-1;Garam Masala;ORG-1;🟩;Koriander (ganz/geröstet, gem.)|25|25||Kreuzkümmel (geröstet, gem.)|20|20||Schwarzer Pfeffer (gem.)|15|15||Kardamom (gem.)|10|10||Zimt (gem.)|10|10||Lorbeer (gem.)|10|10||Nelken (gem.)|5|5||Muskat (gem.)|5|5;g|%;100;"Ganze Gewürze sanft rösten, abkühlen lassen, fein mahlen; am Ende der Garzeit verwenden.";;;;Indien (Nord);Food & Wine — How to make Garam Masala — https://www.foodandwine.com/how-to-make-and-cook-with-garam-masala-7112310;aktiv;;;;Primärquelle;;;;ME_000016;
ME_000017-ORG-1;Gomasio;ORG-1;🟩;Sesam (geröstet)|95|95||Meersalz|5|5;g|%;100;Sesam in Pfanne rösten, mit Salz im Suribachi/Mörser grob zerreiben.;;;;Japan;The Daring Gourmet — Gomasio — https://www.daringgourmet.com/gomasio-japanese-sesame-salt/;aktiv;;;;Primärquelle;;;;ME_000017;
ME_000018-ORG-1;Harissa (trocken);ORG-1;🟩;Getrocknete Chili (gem.)|50|50||Kreuzkümmel (gem.)|12|12||Koriander (gem.)|12|12||Kümmel/Caraway (gem.)|10|10||Knoblauchpulver|8|8||Salz|8|8;g|%;100;"Gewürze fein mahlen und homogen mischen; trocken lagern.";;;;Nordafrika (Tunesien);The Noshery — Harissa Powder — https://thenoshery.com/harissa-powder/;aktiv;;;;Primärquelle;;;;ME_000018;
ME_000019-ORG-1;Hawaij (Kaffee);ORG-1;🟩;Kardamom (gem.)|45|45||Ingwer (gem.)|30|30||Zimt (gem.)|20|20||Nelken (gem.)|5|5;g|%;100;Spicemix frisch mahlen und zum Kaffee geben oder mit Kaffeepulver mischen.;;;;Jemen;Veggie Desserts — Hawaij Coffee — https://veggiedesserts.com/hawaij-coffee/;aktiv;;;;Primärquelle;;;;ME_000019;
ME_000020-ORG-1;Hawaij (Suppe);ORG-1;🟩;Kreuzkümmel (gem.)|40|40||Kurkuma (gem.)|30|30||Schwarzer Pfeffer (gem.)|10|10||Kardamom (gem.)|10|10||Koriander (gem.)|10|10;g|%;100;"Gewürze rösten (kurz), mahlen und mischen; als Suppen- und Eintopfwürze.";;;;Jemen;Epicurious — Hawaij (Yemenite spice blend) — https://www.epicurious.com/recipes/food/views/hawaij;aktiv;;;;Primärquelle;;;;ME_000020;
ME_000021-ORG-1;Herbes de Provence;ORG-1;🟩;Thymian (getr.)|30|30||Rosmarin (getr.)|25|25||Majoran (getr.)|15|15||Oregano (getr.)|10|10||Bohnenkraut (getr.)|10|10||Lavendelblüten (getr.)|10|10;g|%;100;"Getrocknete Kräuter grob zerreiben und homogen mischen; lichtgeschützt lagern.";;;;Provence, Frankreich;BBC Good Food — Herbes de Provence — https://www.bbcgoodfood.com/recipes/herbes-de-provence;aktiv;;;;Primärquelle;;;;ME_000021;
ME_000022-ORG-1;Jerk Seasoning;ORG-1;🟩 Jamaican Jerk (classic);Piment 22 %, Frühlingszwiebel getr. 10 %, Thymian 10 %, Zimt 8 %, Muskat 6 %, Ingwer 8 %, Pfeffer 8 %, Knoblauch 6 %, Chili (Scotch Bonnet, getr.) 15 %, Zucker 5 %, Salz 2 %;%;100 %;"Trockenrub; frisch oft als Paste.";S4;P1;M1;Jamaika;Variants_v2;aktiv;—;—;;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/jerk-seasoning.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/jerk-seasoning__jamaican-jerk-classic.png;ME_000022;
ME_000023-ORG-1;Katsu Curry (japan. Currypulver);ORG-1;🟩;Koriander (gem.)|22|22||Kreuzkümmel (gem.)|18|18||Kurkuma (gem.)|18|18||Fenugreek/Bockshornklee (gem.)|8|8||Schwarzer Pfeffer (gem.)|8|8||Ingwer (gem.)|8|8||Zimt (gem.)|6|6||Nelken (gem.)|4|4||Kardamom (gem.)|4|4||Lorbeer (gem.)|4|4;g|%;100;"Gewürze fein mahlen; klassisch als Roux mit Mehl/Butter ansetzen.";S4;P1;M1;Japan;Just One Cookbook — Japanese Curry Powder — https://www.justonecookbook.com/japanese-curry-powder/;aktiv;;;;Primärquelle;;;;ME_000023;
ME_000024-ORG-1;Khmeli Suneli;ORG-1;🟩;Koriander (gem.)|25|25||Bockshornklee blau (gem.)|15|15||Dillspitzen (getr.)|10|10||Basilikum (getr.)|10|10||Bohnenkraut (getr.)|10|10||Minze (getr.)|10|10||Ringelblume (gem.)|5|5||Fenugreek (gem.)|7|7||Piment (gem.)|4|4||Schwarzer Pfeffer (gem.)|4|4;g|%;100;Kräuter und Gewürze fein mahlen und mischen.;;;;Georgien;Serious Eats — Khmeli Suneli — https://www.seriouseats.com/khmeli-suneli-georgian-spice-mix-recipe;aktiv;;;;Primärquelle;;;;ME_000024;
ME_000025-ORG-1;Lebkuchengewürz;ORG-1;🟩 Pain d’épices;Zimt 32 %, Anis 18 %, Ingwer 16 %, Nelke 10 %, Muskat 8 %, Piment 8 %, Kardamom 5 %, Koriander 3 %;%;100 %;Anis-hoch, ideal für Honigbrote.;S2;P1;M1;Frankreich;Variants_v1;aktiv;—;—;;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/lebkuchengewuerz__pain-depices.png;ME_000025;
ME_000026-ORG-1;Madras Curry;ORG-1;🟩;Koriander (ganz, geröstet, gem.)|30|30||Kreuzkümmel (geröstet, gem.)|20|20||Senfsaat (gem.)|10|10||Bockshornklee (gem.)|8|8||Kurkuma (gem.)|15|15||Chili (gem.)|12|12||Pfeffer schwarz (gem.)|5|5;g|%;100;"Ganze Gewürze rösten, mahlen; Kurkuma zuletzt untermischen.";S4;P1;M1;Indien/UK;BBC Good Food — Madras curry powder — https://www.bbcgoodfood.com/recipes/madras-curry-powder;aktiv;;;;Primärquelle;;;;ME_000026;
ME_000027-ORG-1;Old Bay Seasoning;ORG-1;🟩;Selleriesalz|25|25||Paprika|20|20||Senfpulver|12|12||Pfeffer schwarz (gem.)|8|8||Cayenne|6|6||Zimt (gem.)|4|4||Muskat (gem.)|4|4||Piment (gem.)|4|4||Ingwer (gem.)|4|4||Lorbeer (gem.)|3|3||Kardamom (gem.)|2|2;g|%;100;"Nachbildung; das Originalrezept ist geheim.";S4;;;USA (Chesapeake);The Spruce Eats — Old Bay Seasoning Copycat — https://www.thespruceeats.com/old-bay-seasoning-copycat-4691229;aktiv;;;;Primärquelle;;;;ME_000027;
ME_000028-ORG-1;Pain d’Épices Gewürz;ORG-1;🟩;Zimt (gem.)|30|30||Ingwer (gem.)|20|20||Anis (gem.)|15|15||Koriander (gem.)|10|10||Nelken (gem.)|10|10||Muskat (gem.)|5|5||Piment (gem.)|10|10;g|%;100;"Fein mahlen; klassisch in Honigbrot.";;P1;;Frankreich;David Lebovitz — Pain d’épices — https://www.davidlebovitz.com/pain-depices/;aktiv;;;;Primärquelle;;;;ME_000028;
ME_000029-ORG-1;Pickling Spice;ORG-1;🟩;Senfsaat gelb|20|20||Koriandersamen|15|15||Piment ganz|10|10||Pfefferkörner schwarz|10|10||Lorbeer (Stücke)|10|10||Dillspitzen|8|8||Zimtstangen (Stücke)|7|7||Nelken ganz|5|5||Ingwer getr. (Stücke)|5|5||Chiliflocken|10|10;g|%;100;"Grob zerstoßen; in Lake köcheln oder in Beutel mitziehen.";;P1;;USA/Global;Ball Canning — Pickling Spice — https://www.ballmasonjars.com/;aktiv;;;;Primärquelle;;;;ME_000029;
ME_000030-ORG-1;Pumpkin Spice;ORG-1;🟩;Zimt (gem.)|45|45||Ingwer (gem.)|20|20||Muskat (gem.)|15|15||Piment (gem.)|10|10||Nelken (gem.)|10|10;g|%;100;"Fein mischen; für Kuchen/Füllungen.";;P1;M4;USA;McCormick — Pumpkin Pie Spice — https://www.mccormick.com/;aktiv;;;;Primärquelle;;;;ME_000030;
ME_000031-ORG-1;Quatre Épices;ORG-1;🟩;Weißer Pfeffer (gem.)|50|50||Zimt (gem.)|20|20||Muskat (gem.)|20|20||Nelken (gem.)|10|10;g|%;100;"Fein mahlen; klassisch Pfeffer-lastig.";S4;;;Frankreich;Larousse Cuisine — Quatre épices — https://www.larousse.fr/gastronomie/;aktiv;;;;Primärquelle;;;;ME_000031;
ME_000032-ORG-1;Ras el Hanout;ORG-1;🟩;Koriander (gem.)|14|14||Kreuzkümmel (gem.)|12|12||Ingwer (gem.)|8|8||Zimt (gem.)|8|8||Kardamom (gem.)|6|6||Muskat (gem.)|4|4||Nelken (gem.)|3|3||Piment (gem.)|5|5||Paprika edelsüß|15|15||Pfeffer schwarz (gem.)|15|15||Kurkuma (gem.)|10|10;g|%;100;"Ganze Gewürze rösten, mahlen; Paprika zuletzt untermischen.";;P1;M1;Maghreb;The Spruce Eats — Ras el Hanout — https://www.thespruceeats.com/ras-el-hanout-recipe-2394437;aktiv;;;;Primärquelle;;;;ME_000032;
ME_000033-ORG-1;Rasam-Pulver;ORG-1;🟩;Koriander (geröstet, gem.)|35|35||Kreuzkümmel (geröstet, gem.)|20|20||Schwarzer Pfeffer (gem.)|10|10||Chili getr. (gem.)|10|10||Korianderblätter getr.|5|5||Bockshornklee (gem.)|5|5||Toor Dal (geröstet, gem.)|10|10||Curryblätter (getr.)|5|5;g|%;100;"Gewürze und Dal rösten, mahlen; frisch verwenden.";;;;Südindien;Hebbar’s Kitchen — Rasam powder — https://hebbarskitchen.com/rasam-powder-recipe/;aktiv;;;;Primärquelle;;;;ME_000033;
ME_000034-ORG-1;Rendang-Bumbu;ORG-1;🟩 Rendang Spice/Paste;Koriander 16 %, Kreuzkümmel 10 %, Galgant 12 %, Kurkuma 10 %, Chili 16 %, Zitronengras 10 %, Knoblauch 6 %, Schalotte 6 %, Kaffirlimettenblatt 4 %, Kardamom 4 %, Zimt 4 %, Sternanis 2 %;%;100 %;Trockenmix oder Paste.;S4;P2;M1;Indonesien/Sumatra;Variants_v1;aktiv;—;—;;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/rendang-bumbu.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/rendang-bumbu__rendang-spice-paste.png;ME_000034;
ME_000035-ORG-1;Sambar-Pulver;ORG-1;🟩;Koriander (geröstet, gem.)|30|30||Chili getr. (gem.)|18|18||Kreuzkümmel (gem.)|10|10||Schwarzer Pfeffer (gem.)|5|5||Bockshornklee (gem.)|5|5||Kurkuma (gem.)|10|10||Toor Dal (geröstet, gem.)|15|15||Curryblätter (getr.)|7|7;g|%;100;Gewürze mit gerösteten Linsen fein mahlen.;;;;Südindien (Tamil Nadu);Kannamma Cooks — Sambar powder — https://www.kannammacooks.com/sambar-powder/;aktiv;;;;Primärquelle;;;;ME_000035;
ME_000036-ORG-1;Shichimi Togarashi;ORG-1;🟩;Chiliflocken (Ichimi)|35|35||Sesam hell (geröstet)|20|20||Sesam schwarz (geröstet)|10|10||Nori (zerbröselt)|10|10||Sansho/Szechuanpfeffer|10|10||Mohn|10|10||Ingwer (gem.)|5|5;g|%;100;"Sesam rösten; Nori und Chiliflocken untermischen.";;;;Japan;Just One Cookbook — Shichimi Togarashi — https://www.justonecookbook.com/shichimi-togarashi/;aktiv;;;;Primärquelle;;;;ME_000036;
ME_000037-ORG-1;Shisan Xiang (13 Spice);ORG-1;🟩;Sternanis (gem.)|18|18||Fenchel (gem.)|12|12||Zimt Cassia (gem.)|12|12||Szechuanpfeffer (gem.)|10|10||Nelken (gem.)|8|8||Ingwer (gem.)|8|8||Kardamom (gem.)|8|8||Galgant (gem.)|6|6||Muskat (gem.)|6|6||Orangenschale (getr., gem.)|6|6||Lakritz (gem.)|6|6;g|%;100;"Ganze Gewürze rösten und mahlen; regional variabel.";;P1;;China;The Woks of Life — Chinese 13-Spice — https://thewoksoflife.com/chinese-five-spice/;aktiv;;;;Primärquelle;;;;ME_000037;
ME_000038-ORG-1;Speculoos/Speculaas Gewürz;ORG-1;🟩;Zimt (gem.)|45|45||Koriander (gem.)|12|12||Muskat (gem.)|10|10||Nelken (gem.)|10|10||Ingwer (gem.)|15|15||Kardamom (gem.)|8|8;g|%;100;"Fein mischen; v. a. für Mürbeteige.";;P1;M4;BeNeLux/DACH;King Arthur Baking — Speculaas Spice — https://www.kingarthurbaking.com/;aktiv;;;;Primärquelle;;;;ME_000038;
ME_000039-ORG-1;Tandoori Masala;ORG-1;🟩;Koriander (gem.)|25|25||Kreuzkümmel (gem.)|15|15||Paprika|20|20||Kurkuma|10|10||Ingwer (gem.)|8|8||Knoblauchpulver|8|8||Kardamom (gem.)|6|6||Zimt (gem.)|4|4||Nelken (gem.)|2|2||Cayenne|2|2;g|%;100;Mit Zitronensaft und Joghurt zur Marinade anrühren.;S4;P1;M1;Indien;Madhur Jaffrey — Tandoori Masala — https://www.madhurjaffrey.com/;aktiv;;;;Primärquelle;;;;ME_000039;
ME_000040-ORG-1;Vadouvan;ORG-1;🟩;Zwiebelpulver|30|30||Knoblauchpulver|15|15||Koriander (gem.)|12|12||Kreuzkümmel (gem.)|10|10||Kurkuma (gem.)|10|10||Bockshornklee (gem.)|8|8||Senf (gem.)|5|5||Kardamom (gem.)|5|5||Chili (gem.)|5|5;g|%;100;Zwiebel & Knoblauch mit Gewürzen trocknen/rösten, dann mahlen.;S4;;M1;Frankreich/Indien;Serious Eats — Vadouvan — https://www.seriouseats.com/homemade-vadouvan-recipe;aktiv;;;;Primärquelle;;;;ME_000040;
ME_000041-ORG-1;Za’atar;ORG-1;🟩;Thymian (getr.)|25|25||Sesam (geröstet)|25|25||Sumach|25|25||Oregano (getr.)|15|15||Salz|10|10;g|%;100;"Kräuter & Sumach mischen; Sesam separat rösten und untermischen. Luftdicht lagern.";S5;P1;M1;Levant;Feasting At Home – Za’atar Spice Recipe;aktiv;3.5;Primärquelle;;🟩 fundiert;;;;ME_000041;
ME_000042-ORG-1;Advieh (Persien);ORG-1;🟩;Zimt (gem.)|30|30||Kardamom (gem.)|25|25||Kreuzkümmel (gem.)|15|15||Rosenblüten (getr., gem.)|15|15||Schwarzer Pfeffer (gem.)|10|10||Muskat (gem.)|5|5;g|%;100;"Fein mahlen und mischen; klassisch für Reis & Schmorgerichte.";S5;P1;M1;Persien / Iran;Silk Road Recipes – Persian Rice Spice (Advieh Polo);aktiv;3;Primärquelle;;🟩 fundiert;;;;ME_000042;
ME_000043-ORG-1;Advieh (Persisch);ORG-1;🟩;Zimt (gem.)|20|20||Kardamom (gem.)|15|15||Kreuzkümmel (gem.)|15|15||Koriandersamen (gem.)|10|10||Schwarzer Pfeffer (gem.)|10|10||Rosenblüten (getr., gem.)|10|10||Kurkuma (gem.)|8|8||Nelken (gem.)|4|4||Muskat (gem.)|3|3||Salz (optional)|5|5;g|%;100;Gewürze (ohne Rosen) kurz trocken rösten, abkühlen, mit Rosen fein mahlen.;S4;P1;M1;Persien / Iran;The Delicious Crescent – Advieh (Persian Spice Mix);aktiv;5;Primärquelle;;🟩 fundiert;;;;ME_000043;
ME_000044-ORG-1;Ägyptischer Kyphi-Style;ORG-1;🟩;Rosinen (zerstoßen)|15|15||Rotwein (reduziert)|10|10||Honig|10|10||Olibanum (Weihrauch)|15|15||Myrrhe|10|10||Mastix|5|5||Kiefernharz|5|5||Kalmus (Acorus calamus)|5|5||Süßgras (Cymbopogon)|5|5||Minze (getr.)|5|5||Zimt|5|5||Kyphi-Gewürzpaste (aus Wein/Rosinen)|10|10;g|%;100;"Rosinen in Wein einweichen/zerstoßen; Harze mit Honig sanft schmelzen, in die Gewürz-Wein-Paste arbeiten; Kügelchen formen, trocknen.";S3;P4;M6;Altägypten;"AncientEgyptOnline – Kyphi; ENiM: Vadas 2020 – Laboratory at Edfu (Kyphi-Rezept)";aktiv;6;Primärquelle;;🟩 fundiert;;;;ME_000044;
ME_000045-ORG-1;Äthiopischer Etan;ORG-1;🟩;Weihrauch (Boswellia papyrifera, »Etan«)|100|100;g|%;100;"Lose Körner auf glühender Kohle verräuchern; klassisch in Kaffeezeremonien & Liturgie.";S3;P4;M6;Äthiopien;"Selamta USA – Etan (Incense) Übersicht; eBay/Shop-Listings zu Nech Etan (weißer Weihrauch)";aktiv;3;Primärquelle;;🟩 fundiert;;;;ME_000045;
ME_000046-ORG-1;Äthiopischer Etan/Etanite;ORG-1;🟩;Weihrauch (»Etan Nech«/weißer Etan)|100|100;g|%;100;"Als »Etanite/Etan Nech« (helle Qualität) lose verräuchern; reine Harzqualität ohne Zusätze.";S3;P4;M6;Äthiopien;"Selamta USA – Etan Nech; Händlerangaben zu Etan (church incense)";aktiv;3;Primärquelle;;🟩 fundiert;;;;ME_000046;
ME_000047-ORG-1;Agar-Agar;ORG-1;🟩;Agar-Agar (Pulver)|2|2||Wasser|88|88||Klarer Fruchtsaft|10|10;g|%;100;"Agar in kalter Flüssigkeit dispergieren, aufkochen, 1–2 Min. sieden; heiß verarbeiten, kalt gelieren lassen.";S5;P2;M3;Global;Modernist Cuisine / Hydrocolloid Guide (Agar-Gel 1–2%);aktiv;2;Primärquelle;;🟩 fundiert;;;;ME_000047;
ME_000048-ORG-1;Agavendicksaft;ORG-1;🟩;Agavendicksaft (Sirup)|100|100;g|%;100;"Direkt verwendbar; Süßungsmittel für Getränke, Desserts, Dressings.";S2;P3;M4;Mexiko;Wikipedia – Agave syrup / Agavendicksaft;aktiv;2;Primärquelle;;🟩 fundiert;;;;ME_000048;
ME_000049-ORG-1;Ahornsirup;ORG-1;🟩;Ahornsirup (Grad A/B)|100|100;g|%;100;"Als Süßungs- & Aromakomponente; kalt/warm einsetzen.";S2;P3;M4;Kanada;Ontario Maple Syrup Producers – Maple Syrup Basics;aktiv;2;Primärquelle;;🟩 fundiert;;;;ME_000049;
ME_000050-ORG-1;Akazienblütenöl (Mazerat);ORG-1;🟩;Akazienblüten (frisch, ungespritzt)|20|20||Sonnenblumenöl (neutral)|80|80;g|%;100;"Blüten trocken ausschütteln, in Öl 5–7 Tage bei 20–25 °C mazerieren; filtrieren; dunkel lagern.";S2;P3;M3;Europa;Herbal Maceration Guide (Mountain Rose Herbs – Infused Oils);aktiv;3;Primärquelle;;🟩 fundiert;;;;ME_000050;
ME_000051-ORG-1;Algenprotein Aroma;ORG-1;🟩;Kombu (Pulver)|60|60||Nori (Pulver)|40|40;g|%;100;"Beide Algen fein mahlen und homogen mischen; als Umami-Boost (Reis, Brühen, Gemüse).";S5;P1;M1;Japan;"Just One Cookbook – Furikake (Seealgen-Umami); Literatur zu Glutamaten in Kombu";aktiv;3;Primärquelle;;🟩 fundiert;;;;ME_000051;
ME_000052-ORG-1;Allulose (Psicose);ORG-1;🟩;Allulose (Kristallzucker)|100|100;g|%;100;"Direkt als kalorienarmer Zuckerersatz einsetzbar; gut löslich.";S2;P1;M4;Global;FDA/EFSA Infos & Herstellerangaben – Allulose (D-Psicose);aktiv;4;Primärquelle;;🟩 fundiert;;;;ME_000052;
